eta_gain,eta_loss,reference_gap
0.08,0.68,0.15455999999999992
0.08,0.7000000000000001,0.15823999999999994
0.08,0.72,0.16191999999999984
0.08,0.74,0.16559999999999986
0.08,0.76,0.16927999999999988
0.08,0.78,0.1729599999999999
0.08,0.8,0.1766399999999999
0.1,0.0,0.03600000000000003
0.1,0.02,0.03960000000000008
0.1,0.04,0.04320000000000013
0.1,0.06,0.046800000000000175
0.1,0.08,0.0504
0.1,0.1,0.05400000000000005
0.1,0.12,0.057600000000000096
0.1,0.14,0.06120000000000003
0.1,0.16,0.06480000000000008
0.1,0.18,0.06840000000000013
0.1,0.2,0.07200000000000006
0.1,0.22,0.07560000000000011
0.1,0.24,0.07920000000000005
0.1,0.26,0.0828000000000001
0.1,0.28,0.08640000000000014
0.1,0.3,0.08999999999999997
0.1,0.32,0.09360000000000002
0.1,0.34,0.09719999999999995
0.1,0.36,0.1008
0.1,0.38,0.10440000000000005
0.1,0.4,0.10799999999999998
0.1,0.42,0.11160000000000003
0.1,0.44,0.11519999999999997
0.1,0.46,0.11880000000000002
0.1,0.48,0.12240000000000006
0.1,0.5,0.126
0.1,0.52,0.12960000000000005
0.1,0.54,0.13319999999999999
0.1,0.56,0.13680000000000003
0.1,0.58,0.14040000000000008
0.1,0.6,0.14400000000000002
0.1,0.62,0.14760000000000006
0.1,0.64,0.1512
0.1,0.66,0.15480000000000005
0.1,0.68,0.1584000000000001
0.1,0.7000000000000001,0.16200000000000003
0.1,0.72,0.16559999999999997
0.1,0.74,0.16920000000000002
0.1,0.76,0.17279999999999995
0.1,0.78,0.1764
0.1,0.8,0.17999999999999994
0.12,0.0,0.042240000000000055
0.12,0.02,0.04576000000000002
0.12,0.04,0.04927999999999999
0.12,0.06,0.05280000000000018
0.12,0.08,0.05632000000000015
0.12,0.1,0.059840000000000115
0.12,0.12,0.06336000000000008
0.12,0.14,0.06688000000000005
0.12,0.16,0.07040000000000013
0.12,0.18,0.0739200000000001
0.12,0.2,0.07744000000000006
0.12,0.22,0.08096000000000014
0.12,0.24,0.08448000000000011
0.12,0.26,0.08800000000000008
0.12,0.28,0.09152000000000016
0.12,0.3,0.09504000000000001
0.12,0.32,0.09855999999999998
0.12,0.34,0.10208000000000006
0.12,0.36,0.10560000000000003
0.12,0.38,0.10912
0.12,0.4,0.11264000000000007
0.12,0.42,0.11616000000000004
