user_id,PGR,PLR,disposition,transnum,stknum,num_posts,lag_pos,lag_neg,lag_neu,lag_num_posts,guanzhu,fans,status_count,stocks_count,following_count,e6_pgr,e6_plr,e6_disposition,e6_reduce_rate,e6_opportunity_count,gain_opportunities,loss_opportunities,sentiment_balance,activity_rank,diversification_rank,reference_rank,base_adoption,loss_aversion,cluster,agent_type,type_prevalence
021586,0.5833333333333334,0.3611111111111111,0.22222222222222224,0.8,1.2,804.5666666666667,11.689655172413794,12.482758620689655,4.0344827586206895,813.5172413793103,19,0,80,64,0,0.8788269977294367,0.5821542599463011,0.29667273778313563,0.7539744800318436,42,21.0,21.0,-0.027154663518299853,0.4198506176386096,0.1694915254237288,0.7730537201953461,0.7539744800318436,2.1866909511325425,0,Moderate-frequency focused investors,0.4941108876759552
021616,0.46226415094339623,0.21226415094339623,0.25,1.0,3.1761006289308176,5114.735849056604,91.57692307692308,54.03846153846154,17.134615384615383,5097.076923076923,52,5,10,148,0,0.7851062601062601,0.49157766210397785,0.2935285980022822,0.6228868146831191,100,45.0,55.0,0.22924251321197886,0.4860672220626257,0.7446136167767883,0.7675955185291583,0.6228868146831191,2.1741143920091286,2,Disposition-effect investors,0.28669922436081585
021625,0.5,0.7222222222222222,-0.2222222222222222,6.604166666666667,1.8680555555555556,25988.645833333332,805.8510638297872,63.5531914893617,21.46808510638298,25923.297872340427,43,4,4,132,0,0.6804254254254254,0.7422966421682724,-0.06187121674284701,0.7207767719852138,117,55.0,62.0,0.8322916169664584,0.9658144211433496,0.42257971847170356,0.02212008043665613,0.7207767719852138,1.0,0,Moderate-frequency focused investors,0.4941108876759552
021677,0.5347222222222222,0.4288194444444444,0.10590277777777778,1.6666666666666667,1.986111111111111,5196.270833333333,113.61702127659575,46.40425531914894,15.085106382978724,5247.404255319149,34,4,37,87,0,0.7429076804076804,0.6073175727780991,0.13559010762958135,0.6795128887452209,90,46.0,44.0,0.38166002174700975,0.656276931916116,0.45619074978454466,0.2803792013789141,0.6795128887452209,1.5423604305183254,0,Moderate-frequency focused investors,0.4941108876759552
021703,0.6604938271604938,0.25,0.4104938271604939,2.962962962962963,2.9012345679012346,47830.555555555555,1164.4615384615386,316.61538461538464,88.88461538461539,46447.846153846156,121,5,17,232,0,0.8131647272272272,0.5258174463735537,0.28734728085367356,0.6635360217527693,61,28.0,33.0,0.5396988615497612,0.8379775926457914,0.6914679689744326,0.7549554725653548,0.6635360217527693,2.1493891234146942,2,Disposition-effect investors,0.28669922436081585
021749,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.222222222222222,546.1666666666666,15.0,3.6,1.0,538.0,13,0,1,7,0,0.7789595150706261,0.5849238480817429,0.1940356669888832,0.7153937159301486,9,7.0,2.0,0.5533980582524272,0.15527147371444988,0.1775351910370583,0.46495259982763576,0.7153937159301486,1.7761426679555328,0,Moderate-frequency focused investors,0.4941108876759552
021788,0.26904761904761904,0.5238095238095238,-0.25476190476190474,1.1428571428571428,2.357142857142857,20617.85714285714,409.0,191.46153846153845,64.0,20180.076923076922,135,26,140,155,0,0.5006647272272272,0.5910358015621174,-0.09037107433489022,0.5037910424919124,45,28.0,17.0,0.3268986244364813,0.5336110313128412,0.5746911806952025,0.014363688595231256,0.5037910424919124,1.0,3,Active diversified investors,0.19419706980752657
021872,0.5666666666666667,0.2,0.36666666666666664,0.0,1.6,39697.4,736.75,546.5,124.0,40503.75,44,342,176,9,0,0.7612762762762761,0.5160141155564497,0.24526216071982643,0.6338006343562252,8,5.0,3.0,0.1350967512870584,0.06391841424877909,0.32921574260270037,0.6493823613904051,0.6338006343562252,1.9810486428793057,2,Disposition-effect investors,0.28669922436081585
021894,0.4855769230769231,0.4525641025641025,0.033012820512820513,2.480769230769231,1.4487179487179487,3947.0384615384614,72.29411764705883,40.666666666666664,12.215686274509803,3976.450980392157,46,4,75,25,0,0.7977284717149582,0.514713168363423,0.28301530335153524,0.6377307330746551,127,54.0,73.0,0.2506604506604507,0.7902901465096237,0.2645791439241597,0.7469118069520253,0.6377307330746551,2.132061213406141,2,Disposition-effect investors,0.28669922436081585
021910,0.5534883720930233,0.6531007751937984,-0.0996124031007752,7.767441860465116,2.3565891472868215,391.6744186046512,9.952380952380953,2.5,1.3333333333333333,393.1904761904762,15,0,0,0,0,0.7782209292625959,0.7574496946722692,0.020771234590326704,0.7833067982368467,115,52.0,63.0,0.5040257648953301,0.9787417408790577,0.5742602700373456,0.07181844297615628,0.7833067982368467,1.0830849383613068,0,Moderate-frequency focused investors,0.4941108876759552
