reference,bootstrap,log_loss,brier,calibration_intercept,calibration_slope,observed_rate,predicted_rate,auroc,auprc
static,35,0.5951493938329396,0.19029059405069787,0.5519886806100316,0.10382344640220476,0.600969686866161,0.5656033995958557,0.7747480651460146,0.8016197776906118
symmetric,35,0.5939486074874821,0.18988033638447527,0.5519321475763205,0.10409002600694221,0.600969686866161,0.5654196637139002,0.7758096562950036,0.8027899555948097
asymmetric,35,0.5937326703416631,0.18977421942066577,0.5518031267678818,0.10406303574580912,0.600969686866161,0.5654385773021406,0.776045069854697,0.8031705127144849
none,36,0.6055774955952614,0.19629980597918192,0.5552634397590509,0.10836533969968397,0.6023514621637452,0.5644111237579061,0.7589049044501011,0.7894589120027186
static,36,0.5857383569147337,0.18888592720136976,0.5517338640880924,0.11201684179513348,0.6023514621637452,0.5668714100808493,0.7760323005550601,0.803924961278945
symmetric,36,0.5843040822546645,0.18831008222593476,0.5514813560248969,0.11235762814756514,0.6023514621637452,0.5669158513803063,0.7772979896968644,0.804977759804167
asymmetric,36,0.5838212479339715,0.18807236111162656,0.5513202042994718,0.11238276422858046,0.6023514621637452,0.5668786024515238,0.7778594905328909,0.8055421162812747
none,37,0.5965311763024945,0.19525242387530917,0.5576094398355915,0.10822997622238724,0.6084033613445378,0.5690961535078847,0.7605289727617398,0.8022199616365219
static,37,0.5746765332705108,0.18700488783457236,0.5544463632676674,0.11251431665071653,0.6084033613445378,0.5702491103847049,0.7801114497767856,0.8182350897482518
symmetric,37,0.573224274047106,0.1864803005348662,0.5542212707149714,0.11290893812530069,0.6084033613445378,0.5702146702983236,0.7813818194975417,0.8193669194199592
asymmetric,37,0.5726170321246434,0.18623159605052217,0.5540509665694736,0.1130141661688225,0.6084033613445378,0.5702269898800706,0.7819302644185216,0.8199736543581403
none,38,0.599892972809843,0.19454166987150062,0.5549425513404099,0.10928734179696922,0.6082129365285348,0.5747082252825947,0.7583634110305925,0.7921168526081799
static,38,0.5769880844974578,0.18601893284307475,0.5512869909955821,0.11423219147035553,0.6082129365285348,0.5765308433872989,0.7782511020727878,0.809517614641558
symmetric,38,0.5756058718645958,0.18552302463625703,0.551082500692704,0.11460202726600617,0.6082129365285348,0.5765332530593149,0.7794459011266628,0.8107552438303414
asymmetric,38,0.5751714461841906,0.18532232181366717,0.5510220320110762,0.11461725595857926,0.6082129365285348,0.5763746826037102,0.7799859182060245,0.8112679781909627
