reference,bootstrap,gain_reduction_rate,loss_reduction_rate,disposition_gap,gain_opportunities,loss_opportunities
asymmetric,43,0.7189913464222574,0.4938295272099878,0.22516181921226958,32241,41731
static,44,0.720131179107621,0.49928687856560716,0.22084430054201387,33237,39264
symmetric,44,0.7236524660253474,0.49911962974142265,0.22453283628392473,32745,39756
asymmetric,44,0.7276756453072818,0.49985171271810586,0.22782393258917594,32039,40462
static,45,0.7206923922334839,0.4829003828464246,0.2377920093870593,32756,38919
symmetric,45,0.7248772605804487,0.4829463449218849,0.24193091565856378,32182,39493
asymmetric,45,0.728130143056083,0.4839192594625614,0.2442108835935216,31596,40079
static,46,0.7285026165556613,0.5066538518408991,0.22184876471476223,33632,40578
symmetric,46,0.7320332577475435,0.5068190105749362,0.2252142471726073,33075,41135
asymmetric,46,0.7351399679368603,0.5078517738306123,0.227288194106248,32436,41774
static,47,0.7174042593231502,0.5017542940930038,0.21564996523014646,31883,38192
symmetric,47,0.7202117144405829,0.5023765240752222,0.2178351903653607,31363,38712
asymmetric,47,0.7232409936272597,0.5033698720720262,0.21987112155523347,30756,39319
static,48,0.7354158364243892,0.5001848519951692,0.23523098442922008,32621,40573
symmetric,48,0.7396462601980445,0.4997809152872444,0.23986534491080008,32114,41080
asymmetric,48,0.7424849062599301,0.5013421531972007,0.24114275306272948,31470,41724
static,49,0.7223289777094543,0.49988252799749394,0.22244644971196031,31224,38307
symmetric,49,0.7269734697868457,0.49931787175989084,0.2276555980269549,30682,38849
asymmetric,49,0.7304530173418101,0.5003545380875203,0.23009847925428983,30043,39488
static,50,0.732907599648921,0.5093726187452375,0.2235349809036835,33041,39370
symmetric,50,0.7367075349639579,0.5095246439209993,0.22718289104295863,32462,39949
asymmetric,50,0.7404066752569219,0.5102236893969255,0.23018298585999641,31819,40592
static,51,0.7350314561914991,0.5001655333995467,0.2348659227919524,32585,39267
symmetric,51,0.7373359518688238,0.5012948482638976,0.23604110360492625,32079,39773
asymmetric,51,0.7413968577062527,0.5018559762435041,0.23954088146274866,31442,40410
static,52,0.727776524792989,0.49276338840525025,0.2350131363877388,31037,37103
symmetric,52,0.729967320261438,0.49371337240277036,0.2362539478586676,30600,37540
asymmetric,52,0.7331154320781776,0.49505988416280106,0.2380555479153766,29983,38157
static,53,0.7282848672175614,0.49022688058509956,0.2380579866324618,31706,38831
symmetric,53,0.7319650542814929,0.4907748141004492,0.24119024018104374,31134,39403
asymmetric,53,0.735622401885372,0.49149702395838546,0.24412537792698652,30551,39986
static,54,0.7151990788437065,0.49965632239505103,0.21554275644865545,33002,39281
symmetric,54,0.7179550278384448,0.5000754261577915,0.21787960168065323,32509,39774
asymmetric,54,0.7202893558387875,0.5013382899628253,0.21895106587596225,31933,40350
static,55,0.7200050398462847,0.5053965512862839,0.2146084885600008,31747,39377
symmetric,55,0.7232137125248764,0.5060795596697523,0.21713415285512416,31154,39970
asymmetric,55,0.7263712527817777,0.50690199171761,0.21946926106416775,30556,40568
static,56,0.7151243093922652,0.4872438087105038,0.2278805006817614,31856,37472
symmetric,56,0.7186981493299298,0.48739075497525536,0.23130739435467446,31340,37988
asymmetric,56,0.7216511612777308,0.48862281656559375,0.23302834471213701,30742,38586
