method,method_label,seed,terminal_wealth,annualized_return,annualized_volatility,sharpe,max_drawdown,total_turnover,return_per_turnover,cumulative_fee,mean_cash,mean_effective_holdings,mean_max_stock_weight
expected,Expected-Wealth PG,2025,1.5289234305831696,0.3762651288081762,0.26750408816926485,1.3284169038528886,0.27162953938221335,19.88614771187718,0.026597581303656182,0.04743653605569094,0.013226683650683937,115.16779369211585,0.08118499641751797
exponential,Exponential-Utility PG,2025,1.309748322636819,0.22504840460485953,0.22882773785199242,1.0021510915096274,0.18659040493069745,19.83222055466358,0.015618438781631093,0.04425261968715931,0.013453257137987402,97.10652421985812,0.05806598159780546
equal_weight,Equal Weight,29,1.2270635208136633,0.16640464368876273,0.15566122894233508,1.0676133384179962,0.11593419092936919,1.0000000000000004,0.2270635208136632,0.0019841052807956982,0.011940298507462688,299.98759190646825,0.003293825073713863
equal_weight,Equal Weight,147,1.2270635208136633,0.16640464368876273,0.15566122894233508,1.0676133384179962,0.11593419092936919,1.0000000000000004,0.2270635208136632,0.0019841052807956982,0.011940298507462688,299.98759190646825,0.003293825073713863
equal_weight,Equal Weight,3141,1.2270635208136633,0.16640464368876273,0.15566122894233508,1.0676133384179962,0.11593419092936919,1.0000000000000004,0.2270635208136632,0.0019841052807956982,0.011940298507462688,299.98759190646825,0.003293825073713863
equal_weight,Equal Weight,42,1.2270635208136633,0.16640464368876273,0.15566122894233508,1.0676133384179962,0.11593419092936919,1.0000000000000004,0.2270635208136632,0.0019841052807956982,0.011940298507462688,299.98759190646825,0.003293825073713863
equal_weight,Equal Weight,3407,1.2270635208136633,0.16640464368876273,0.15566122894233508,1.0676133384179962,0.11593419092936919,1.0000000000000004,0.2270635208136632,0.0019841052807956982,0.011940298507462688,299.98759190646825,0.003293825073713863
equal_weight,Equal Weight,592,1.2270635208136633,0.16640464368876273,0.15566122894233508,1.0676133384179962,0.11593419092936919,1.0000000000000004,0.2270635208136632,0.0019841052807956982,0.011940298507462688,299.98759190646825,0.003293825073713863
equal_weight,Equal Weight,7,1.2270635208136633,0.16640464368876273,0.15566122894233508,1.0676133384179962,0.11593419092936919,1.0000000000000004,0.2270635208136632,0.0019841052807956982,0.011940298507462688,299.98759190646825,0.003293825073713863
equal_weight,Equal Weight,101,1.2270635208136633,0.16640464368876273,0.15566122894233508,1.0676133384179962,0.11593419092936919,1.0000000000000004,0.2270635208136632,0.0019841052807956982,0.011940298507462688,299.98759190646825,0.003293825073713863
equal_weight,Equal Weight,2024,1.2270635208136633,0.16640464368876273,0.15566122894233508,1.0676133384179962,0.11593419092936919,1.0000000000000004,0.2270635208136632,0.0019841052807956982,0.011940298507462688,299.98759190646825,0.003293825073713863
equal_weight,Equal Weight,2025,1.2270635208136633,0.16640464368876273,0.15566122894233508,1.0676133384179962,0.11593419092936919,1.0000000000000004,0.2270635208136632,0.0019841052807956982,0.011940298507462688,299.98759190646825,0.003293825073713863
